54.38.81.9 - - [02/Nov/2023:06:45:26 +0100] "GET /index.php?Itemid=53&id=4:ferienwohnung2&option=com_phocagallery&view=category HTTP/1.1" 200 16686 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:51.0) Gecko/20100101 Firefox/95.0" "-"
54.38.81.9 - - [02/Nov/2023:06:45:26 +0100] "GET /index.php?Itemid=53&id=1&limitstart=20&option=com_phocagallery&view=category HTTP/1.1" 200 15392 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36" "-"
54.38.81.9 - - [02/Nov/2023:06:45:27 +0100] "GET /index.php?Itemid=53&id=1:almhuette-raith&option=com_phocagallery&view=category HTTP/1.1" 200 32609 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36" "-"
54.38.81.9 - - [02/Nov/2023:06:45:27 +0100] "GET /index.php?Itemid=53&id=2:winterfotos&limitstart=20&option=com_phocagallery&view=category HTTP/1.1" 200 17112 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36" "-"
54.38.81.9 - - [02/Nov/2023:06:45:28 +0100] "GET /index.php?Itemid=53&id=1:almhuette-raith&limitstart=20&option=com_phocagallery&view=category HTTP/1.1" 200 15462 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36" "-"
84.54.28.122 - - [02/Nov/2023:07:00:53 +0100] "GET /apache-log/access.log HTTP/1.1" 200 6831720 "http://www.almhuette-raith.at/" "Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:114.0) Gecko/20100101 Firefox/114.0" "-"
84.54.28.122 - - [02/Nov/2023:07:00:53 +0100] "GET /wp-login.php?action=register HTTP/1.1" 404 218 "http://www.almhuette-raith.at/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "-"
84.54.28.122 - - [02/Nov/2023:07:00:53 +0100] "GET /wp-login.php?action=register HTTP/1.1" 404 218 "http://www.almhuette-raith.at/wp-login.php?action=register" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "-"
84.54.28.122 - - [02/Nov/2023:07:00:54 +0100] "GET /apache-log/access.log HTTP/1.1" 200 2543432 "http://www.almhuette-raith.at/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "-"
84.54.28.122 - - [02/Nov/2023:07:00:54 +0100] "GET /index.php?option=com_easyblog&view=dashboard&layout=write HTTP/1.1" 404 1397 "http://www.almhuette-raith.at/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "-"
