2009,Acre,Fevereiro,2,2009-02-01
2009,Acre,Marco,1,2009-03-01
2009,Acre,Abril,0,2009-04-01
2009,Acre,Maio,3,2009-05-01
2009,Acre,Junho,0,2009-06-01
2009,Acre,Julho,31,2009-07-01
2009,Acre,Agosto,194,2009-08-01
2009,Acre,Setembro,1265,2009-09-01
2009,Acre,Outubro,565,2009-10-01
2009,Acre,Novembro,33,2009-11-01
2009,Acre,Dezembro,1,2009-12-01
2010,Acre,Janeiro,1,2010-01-01
2010,Acre,Fevereiro,0,2010-02-01
2010,Acre,Marco,0,2010-03-01
2010,Acre,Abril,3,2010-04-01
2010,Acre,Maio,9,2010-05-01
2010,Acre,Junho,1,2010-06-01
2010,Acre,Julho,126,2010-07-01
2010,Acre,Agosto,1682,2010-08-01
2010,Acre,Setembro,2531,2010-09-01
2010,Acre,Outubro,292,2010-10-01
2010,Acre,Novembro,39,2010-11-01
2010,Acre,Dezembro,0,2010-12-01
2011,Acre,Janeiro,0,2011-01-01
2011,Acre,Fevereiro,0,2011-02-01
2011,Acre,Marco,0,2011-03-01
2011,Acre,Abril,2,2011-04-01
2011,Acre,Maio,3,2011-05-01
2011,Acre,Junho,10,2011-06-01
2011,Acre,Julho,93,2011-07-01
2011,Acre,Agosto,425,2011-08-01
2011,Acre,Setembro,1204,2011-09-01
2011,Acre,Outubro,97,2011-10-01
2011,Acre,Novembro,74,2011-11-01
2011,Acre,Dezembro,4,2011-12-01
2012,Acre,Janeiro,0,2012-01-01
2012,Acre,Fevereiro,0,2012-02-01
2012,Acre,Marco,1,2012-03-01
2012,Acre,Abril,1,2012-04-01
2012,Acre,Maio,3,2012-05-01
2012,Acre,Junho,7,2012-06-01
2012,Acre,Julho,71,2012-07-01
2012,Acre,Agosto,739,2012-08-01
2012,Acre,Setembro,1996,2012-09-01
2012,Acre,Outubro,348,2012-10-01
2012,Acre,Novembro,13,2012-11-01
2012,Acre,Dezembro,1,2012-12-01
2013,Acre,Janeiro,0,2013-01-01
2013,Acre,Fevereiro,0,2013-02-01
2013,Acre,Marco,2,2013-03-01
2013,Acre,Abril,19,2013-04-01
2013,Acre,Maio,4,2013-05-01
2013,Acre,Junho,8,2013-06-01
2013,Acre,Julho,54,2013-07-01
2013,Acre,Agosto,679,2013-08-01
2013,Acre,Setembro,2136,2013-09-01
2013,Acre,Outubro,258,2013-10-01
2013,Acre,Novembro,79,2013-11-01
2013,Acre,Dezembro,3,2013-12-01
2014,Acre,Janeiro,0,2014-01-01
2014,Acre,Fevereiro,0,2014-02-01
2014,Acre,Marco,1,2014-03-01
2014,Acre,Abril,7,2014-04-01
2014,Acre,Maio,1,2014-05-01
2014,Acre,Junho,17,2014-06-01
2014,Acre,Julho,60,2014-07-01
2014,Acre,Agosto,11,2014-08-01
2014,Acre,Setembro,2175,2014-09-01
2014,Acre,Outubro,406,2014-10-01
2014,Acre,Novembro,56,2014-11-01
2014,Acre,Dezembro,6,2014-12-01
2015,Acre,Janeiro,1,2015-01-01
2015,Acre,Fevereiro,2,2015-02-01
2015,Acre,Marco,2,2015-03-01
2015,Acre,Abril,3,2015-04-01
2015,Acre,Maio,2,2015-05-01
2015,Acre,Junho,40,2015-06-01
2015,Acre,Julho,109,2015-07-01
2015,Acre,Agosto,1397,2015-08-01
2015,Acre,Setembro,2928,2015-09-01
2015,Acre,Outubro,905,2015-10-01
2015,Acre,Novembro,115,2015-11-01
2015,Acre,Dezembro,8,2015-12-01
2016,Acre,Janeiro,12,2016-01-01
2016,Acre,Fevereiro,5,2016-02-01
2016,Acre,Marco,0,2016-03-01
2016,Acre,Abril,0,2016-04-01
2016,Acre,Maio,21,2016-05-01
2016,Acre,Junho,87,2016-06-01
2016,Acre,Julho,533,2016-07-01
2016,Acre,Agosto,2188,2016-08-01
2016,Acre,Setembro,3586,2016-09-01
2016,Acre,Outubro,509,2016-10-01
2016,Acre,Novembro,46,2016-11-01
2016,Acre,Dezembro,6,2016-12-01
2017,Acre,Janeiro,0,2017-01-01
2017,Acre,Fevereiro,1,2017-02-01
2017,Acre,Marco,0,2017-03-01
2017,Acre,Abril,1,2017-04-01
2017,Acre,Maio,10,2017-05-01
2017,Acre,Junho,45,2017-06-01
2017,Acre,Julho,457,2017-07-01
2017,Acre,Agosto,1493,2017-08-01
2017,Acre,Setembro,3429,2017-09-01
2017,Acre,Outubro,1508,2017-10-01
2017,Acre,Novembro,98,2017-11-01
