Caterine Ibarguen,542,COL,14.16,0.0,14.40,14.46,14.73,14.47
Ana Peleteiro,680,ESP,14.47,13.41,0.0,14.27,14.20,14.20
Yulimar Rojas,2035,VEN, 14.87, 15.37, 0, 15.18, 14.77, 0.0
Shanieka Ricketts,1199,JAM,14.81,14.76,14.92,14.72,14.85,0.0 
Olha Saladukha,1842,UKR,14.52,14.40,0.0,12.34,14.25,14.05
Kimberly Williams,1205,JAM,14.64,14.64,14.53,0.0,0.0,14.17
